Производитель;Серия;Типоразмер;Взрывозащита;Материал;Цвет(RAL);Температура минимальная;Температура максимальная;IP;Крепление;8;9;10;Ширина;Длина;Глубина;Масса;Толщина стенки;Зона Сверловки AB Ш;Зона Сверловки БГ Ш;Внутренние размеры AB;Внутренние размеры БГ;Межосевое расстояние для DIN;Кол-во отверстий;Расстояния болтов вдоль АВ;Расстояния болтов вдоль БГ;Количество болтов;Внутренняя высота коробки;Маркировка взрывозащиты;Наличие
ВЗОР;ВП;121209;Exe;Пластик;9005;-60;130;"66;67";;;;;123;123;90;0.48;6;;;59;75;;;;;;65;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;";True
ВЗОР;ВП;221209;Exe;Пластик;9005;-60;130;"66;67";;;;;221;123;90;0.78;6;;;177;57;;;;;;65;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;";True
ВЗОР;ВП;161610;Exe;Пластик;9005;-60;130;"66;67";;;;;160;160;100;0.73;6;;;120;98;;;;;;75;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;";True
ВЗОР;ВП;261609;Exe;Пластик;9005;-60;130;"66;67";;;;;260;160;90;01.ноя;6;;;210;88;;;;;;75;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;";True
ВЗОР;ВП;361610;Exe;Пластик;9005;-60;130;"66;67";;;;;360;160;90;янв.48;6;;;354;154;;;;;;80;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;";True
ВЗОР;ВП;604016;Exe;Пластик;9005;-60;130;"66;67";;;;;600;400;160;фев.23;6;;;554;154;;;;;;150;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;";True
ВЗОР;ВП;262512;Exe;Пластик;9005;-60;130;"66;67";;;;;255;250;120;янв.74;6;;;212;176;;;;;;90;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;";True
ВЗОР;ВП;402512;Exe;Пластик;9005;-60;130;"66;67";;;;;400;250;120;фев.57;6;;;394;244;;;;;;110;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;";True
ВЗОР;ВП;402516;Exe;Пластик;9005;-60;130;"66;67";;;;;400;250;160;фев.84;6;;;394;244;;;;;;150;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;";True
ВЗОР;ВН;151509;Exe;Нержавейка;7042;-60;130;66;;;;;152.4;152.4;92.4;янв.27;01.май;;;150;150;;;;;;52.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВН;201510;Exe;Нержавейка;7042;-60;130;66;;;;;202.4;152.4;102.4;янв.59;01.май;;;200;150;;;;;;62.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВН;202010;Exe;Нержавейка;7042;-60;130;66;;;;;202.4;202.4;102.4;янв.91;01.май;;;200;200;;;;;;62.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
